id,x_centroid(lon),y_centroid(lat),perimeter(m),area(m_sq),majority_landuse,min_elev(m),max_elev(m),range_elev(m),mean_elev(m),std_elev(m),xmin(lon),ymin(lat),xmax(lon),ymax(lat),bearing(deg),length_to_width_ratio,diagonal(m),lengths(m),widths(m),STATE_NAME,SUB_REGION
661,-79.469455,34.480987,4027.459018,990649.8117,556,41.161362,48.73838,7.577019,45.90415,1.065873,-79.476419,34.702559,-79.469609,34.708252,-8.688499687,1.016856319,887.8392656,633.0327173,622.5390016,South Carolina,South Atlantic
662,-79.433547,34.784331,1463.717269,133876.8906,556,63.45813,71.026291,7.568161,64.694419,0.815441,-79.082123,34.915893,-79.059923,34.926177,-5.025509052,1.77011354,2324.743171,2024.175505,1143.528626,North Carolina,South Atlantic
663,-83.784341,32.655264,1368.423285,116907.8219,263,149.936493,157.502731,7.566238,153.553465,2.191152,-80.620165,33.501471,-80.615421,33.506313,-9.450791131,1.223998533,695.2407262,538.4058383,439.8745783,Georgia,South Atlantic
664,-80.440634,33.872375,2154.855122,285804.4125,257,47.636543,55.201351,7.564808,51.184689,1.837637,-80.679057,33.338163,-80.674758,33.341441,-7.044733875,1.095656802,540.6878052,399.3635789,364.4969647,South Carolina,South Atlantic
665,-80.09116,34.214124,1605.610834,160826.6095,556,48.913151,56.473118,7.559967,54.302591,0.916726,-84.38602,31.584092,-84.381297,31.588163,-4.824188439,1.011832476,636.4394645,452.6745471,447.3809229,South Carolina,South Atlantic
666,-80.09432,33.636308,7697.51084,3559747.324,399,29.334539,36.892265,7.557726,31.998885,1.151281,-80.19643,33.927373,-80.193797,33.929639,-8.340475823,1.037203625,350.0015144,251.9677062,242.9298358,South Carolina,South Atlantic
667,-81.886009,33.11378,3114.447039,600125.9319,556,80.42469,87.97718,7.55249,84.719232,1.919566,-81.539256,33.272464,-81.533213,33.277765,-7.360539861,1.049208953,814.2747025,589.4443053,561.7987757,Georgia,South Atlantic
668,-80.495068,33.494424,3149.241203,615970.5432,581,38.504154,46.056591,7.552437,42.501859,1.359038,-80.467281,33.908785,-80.46294,33.912946,-9.025775129,1.154963254,612.0048129,462.6820937,400.6033022,South Carolina,South Atlantic
669,-79.19893,34.901643,5662.429551,1972668.258,556,61.45739,69.003235,7.545845,66.418602,0.818325,-84.472188,31.319783,-84.468865,31.322883,-5.138454656,1.092022085,467.3938575,344.7042756,315.656872,North Carolina,South Atlantic
670,-79.445464,34.835916,2433.139175,369802.8365,11,67.468735,75.007393,7.538658,72.730135,1.029879,-79.889448,34.344581,-79.880882,34.351933,-8.577152301,1.039504579,1134.347333,817.5050996,786.4372283,North Carolina,South Atlantic
671,-79.313764,34.867276,7863.406045,3838379.721,257,70.355057,77.892212,7.537155,72.072144,0.939593,-80.360515,34.074203,-80.35781,34.076645,-8.600165251,1.089893523,368.5142079,271.5380046,249.1417728,North Carolina,South Atlantic
672,-84.256256,31.695053,858.794794,46035.32079,556,81.314545,88.845177,7.530632,83.739276,1.759392,-84.247263,31.309351,-84.243679,31.312821,-5.54685179,1.133217904,514.5918956,385.8463901,340.4873756,Georgia,South Atlantic
673,-84.370059,32.101756,3115.103036,604331.0864,36,149.089539,156.617889,7.528351,152.029427,1.522041,-75.650103,37.673023,-75.637498,37.684181,-12.3896923,1.118372157,1664.311868,1240.712992,1109.391882,Georgia,South Atlantic
674,-78.695061,34.876365,13101.99199,10728547.2,399,29.597923,37.124771,7.526848,33.724775,1.001854,-79.340315,34.623512,-79.334809,34.628485,-9.491715751,1.097573106,748.0584681,552.9723677,503.8137002,North Carolina,South Atlantic
675,-75.266984,38.260215,1864.768818,216900.044,556,5.741704,13.267904,7.5262,9.564184,1.054176,-75.91146,38.979314,-75.909188,38.98117,-11.25275981,1.050848578,284.8866849,206.3777871,196.3915559,Maryland,South Atlantic
676,-77.334198,35.221361,9488.586,5562350.855,399,12.691665,20.214081,7.522416,16.447514,0.789392,-77.763867,35.767847,-77.76093,35.771636,-15.30023328,1.589973807,497.71645,421.3175794,264.9839749,North Carolina,South Atlantic
677,-79.781686,33.972412,12817.09039,10267353.79,399,25.147285,32.665451,7.518166,28.206391,0.67688,-80.479898,33.716252,-80.475733,33.71947,-7.286717936,1.076579667,525.7694522,385.2274086,357.8252685,South Carolina,South Atlantic
