dist_to_water(m),car_bay_x_centroid(lon),car_bay_y_centroid(lat),perim_bay,xmin_bay(lon),ymin_bay(lat),xmax_bay(lon),ymax_bay(lat),area_water_body(km_sq),FType,FCode,area_bay(m_sq),perim_water(m)
299.246441,-75.642832,39.146282,1503.088441,-75.644662,39.144312,-75.641002,39.148252,0.082,466,46600,137527.792,0.012187
671.622272,-75.623837,39.130843,638.534126,-75.624777,39.130133,-75.622897,39.131552,0.014,390,39004,25476.53123,0.006957
75.432729,-75.644958,39.155189,2123.864693,-75.648677,39.153287,-75.64124,39.15709,0.002,390,39004,269699.2216,0.001754
744.939674,-75.62293,39.132653,681.441877,-75.623823,39.13181,-75.622037,39.133496,0.000412,390,39004,28753.58521,0.001095
152.163798,-75.597911,39.142039,1451.905899,-75.600013,39.140398,-75.595808,39.143679,0.012,466,46600,131751.8172,0.004167
67.479891,-75.624766,39.152925,714.087829,-75.625791,39.152111,-75.623741,39.153739,0.004,466,46600,31866.84815,0.003575
215.526483,-75.596978,39.137515,1123.321334,-75.598651,39.136283,-75.595304,39.138747,0.012,466,46600,78802.39171,0.006818
38.673957,-75.622245,39.151266,1848.085382,-75.624621,39.148943,-75.619869,39.153588,0.004,466,46600,210701.0461,0.003575
359.177351,-75.614761,39.143383,728.536378,-75.615782,39.142533,-75.61374,39.144233,0.000138,390,39004,33135.5477,0.000609
115.956705,-75.617529,39.142657,1143.901155,-75.618861,39.141112,-75.616197,39.144202,0.000412,390,39004,78594.86013,0.001095
209.12989,-75.619316,39.148367,815.673797,-75.620541,39.147479,-75.618091,39.149254,0.02,466,46600,41528.13254,0.006765
323.769605,-75.594326,39.140448,996.596401,-75.595559,39.139159,-75.593093,39.141737,0.012,466,46600,60735.85972,0.004167
287.052,-75.60972,39.155047,746.409669,-75.610762,39.154173,-75.608678,39.15592,0.007,466,46600,34772.75586,0.004284
116.926234,-75.597902,39.147402,975.981887,-75.599122,39.146149,-75.596682,39.148655,0.003,390,39004,58396.08367,0.002131
278.4106,-75.616243,39.136718,664.472601,-75.617176,39.135944,-75.615311,39.137493,0.000412,390,39004,27566.40232,0.001095
624.863729,-75.610892,39.135558,990.397633,-75.612319,39.134434,-75.609465,39.136682,0.000138,390,39004,61303.39768,0.000609
22.550617,-75.608134,39.150404,835.241904,-75.609318,39.149441,-75.60695,39.151368,0.007,466,46600,43580.33976,0.004284
704.2797,-75.622689,39.132755,824.369983,-75.623806,39.131763,-75.621573,39.133747,0.000412,390,39004,42288.78487,0.001095
557.330509,-75.626172,39.133616,544.115531,-75.626965,39.133005,-75.62538,39.134228,0.058,466,46600,18503.47343,0.015061
34.636313,-75.609263,39.149071,866.102429,-75.610358,39.147968,-75.608169,39.150174,0.009,466,46600,46105.29015,0.004198
318.626626,-75.600388,39.138006,948.386491,-75.601894,39.137038,-75.598882,39.138975,0.027,466,46600,55697.18624,0.009833
44.644424,-75.620907,39.147648,873.866709,-75.622134,39.14663,-75.619681,39.148666,0.02,466,46600,47679.18347,0.006765
813.253355,-75.611476,39.133694,508.744959,-75.612087,39.133021,-75.610865,39.134366,0.000138,390,39004,15696.18493,0.000609
147.524632,-75.601114,39.152326,1876.407481,-75.603448,39.149908,-75.59878,39.154745,0.001,390,39004,215582.2284,0.001485
262.188208,-75.618977,39.136671,642.627969,-75.619992,39.13601,-75.617962,39.137331,0.000412,390,39004,25600.95381,0.001095
780.304032,-75.609782,39.133704,620.93284,-75.610614,39.13295,-75.608951,39.134458,0.027,466,46600,23956.79662,0.009833
364.674274,-75.617515,39.147293,622.597762,-75.618377,39.146559,-75.616653,39.148027,0.02,466,46600,24178.0813,0.006765
323.63242,-75.607563,39.156367,806.393003,-75.608915,39.155599,-75.606211,39.157135,0.007,466,46600,39640.7487,0.004284
5.681949,-75.597149,39.135321,1071.336386,-75.598757,39.134155,-75.59554,39.136486,0.012,466,46600,71641.77938,0.006818
84.175887,-75.586302,39.147412,1222.939689,-75.587971,39.145951,-75.584634,39.148873,0.001,390,39004,93151.68732,0.001277
175.777847,-75.584912,39.131053,808.311213,-75.586158,39.130199,-75.583666,39.131907,0.008,466,46600,40666.59939,0.004069
183.879591,-75.596507,39.137444,1194.323483,-75.598323,39.136162,-75.594691,39.138725,0.003,466,46600,88933.42111,0.002138
189.861854,-75.587125,39.150206,986.747401,-75.588437,39.149001,-75.585813,39.151412,0.013,466,46600,60438.31696,0.004503
130.573562,-75.597238,39.142144,1289.064683,-75.598725,39.140392,-75.595751,39.143896,0.012,466,46600,99494.74202,0.004167
176.031066,-75.587438,39.135478,2037.391362,-75.590426,39.133207,-75.58445,39.137749,0.003,466,46600,259396.4716,0.002138
360.667147,-75.571001,39.149212,1145.938879,-75.572697,39.147947,-75.569304,39.150477,0.013,390,39004,82034.34822,0.00627
308.579359,-75.594137,39.140485,1133.20884,-75.595637,39.139094,-75.592638,39.141875,0.012,466,46600,79645.97794,0.004167
187.751563,-75.58627,39.152699,653.944594,-75.587125,39.151889,-75.585415,39.15351,0.001,390,39004,26468.1469,0.001702
211.413801,-75.483092,39.151188,2377.577262,-75.486404,39.148407,-75.47978,39.153969,0.001,390,39004,352798.5373,0.001501
709.450092,-75.476797,39.145311,1663.854334,-75.479244,39.143466,-75.474351,39.147157,0.001,390,39004,172982.0191,0.001501
216.623044,-75.481402,39.151025,1664.835149,-75.482969,39.148492,-75.479835,39.153558,0.001,390,39004,151955.3333,0.001501
136.177185,-75.450043,39.150561,926.950571,-75.451377,39.149511,-75.448709,39.151611,0.034,466,46600,53700.82809,0.009517
1077.74822,-75.473885,39.141854,580.118512,-75.474677,39.141162,-75.473093,39.142545,0.002,390,39004,20964.58199,0.002546
294.937627,-75.449713,39.143376,592.757746,-75.450566,39.142704,-75.44886,39.144047,0.005,390,39004,21959.51358,0.003387
118.96396,-75.449964,39.150561,1012.912477,-75.451463,39.149446,-75.448465,39.151677,0.034,466,46600,64091.40973,0.009517
382.55567,-75.444928,39.144209,1278.978677,-75.446815,39.142797,-75.443041,39.145622,0.000333,390,39004,102196.6983,0.000729
68.762658,-75.438807,39.144743,998.149218,-75.440195,39.143575,-75.43742,39.145912,0.004,466,46600,62172.31651,0.002651
266.748264,-75.447134,39.146637,852.94299,-75.448273,39.145602,-75.445995,39.147672,0.005,390,39004,45198.97609,0.003387
64.386421,-75.438862,39.148198,721.1408,-75.439965,39.147431,-75.437759,39.148964,0.002,466,46600,32397.80852,0.001873
134.790223,-75.44828,39.144741,1161.221137,-75.450183,39.143606,-75.446377,39.145876,0.005,390,39004,82796.22975,0.003387
178.98384,-75.4511,39.144183,792.636752,-75.452343,39.143364,-75.449858,39.145002,0.005,390,39004,38994.62152,0.003387
311.052107,-75.44436,39.146426,594.932469,-75.445148,39.145699,-75.443573,39.147154,1.371182,466,46600,21960.90399,0.198822
305.950851,-75.449196,39.143388,654.761698,-75.450294,39.142767,-75.448098,39.144008,0.005,390,39004,26117.00075,0.003387
122.324858,-75.449151,39.146619,599.474919,-75.449944,39.145886,-75.448358,39.147353,0.005,390,39004,22294.91207,0.003387
361.733342,-75.443479,39.140685,840.105051,-75.44473,39.139766,-75.442229,39.141604,0.000333,390,39004,44073.55201,0.000729
212.552989,-75.445534,39.147853,792.083049,-75.446749,39.147014,-75.444319,39.148692,1.371182,466,46600,39070.9607,0.198822
17.214321,-75.438178,39.146685,658.920844,-75.439219,39.146011,-75.437136,39.147358,0.004,466,46600,26903.80204,0.002651
181.739841,-75.452926,39.140387,1212.07727,-75.454077,39.138552,-75.451775,39.142222,0.003,390,39004,80956.42343,0.002848
348.89138,-75.285879,38.393977,5006.888868,-75.293118,38.388378,-75.278639,38.399576,0.001,390,39004,1566689.691,0.001353
38.141192,-75.763339,39.156802,2842.784476,-75.767179,39.153363,-75.7595,39.160241,0.001,466,46600,502575.089,0.001117
38.159772,-75.751697,39.17508,1655.703973,-75.753793,39.172968,-75.749601,39.177192,0.004,466,46600,168467.7904,0.002379
352.209144,-75.754455,39.167923,1302.362738,-75.756353,39.166456,-75.752557,39.16939,0.005,466,46600,106008.0541,0.002602
44.990943,-75.750255,39.171489,1198.377445,-75.752002,39.170139,-75.748508,39.172839,0.005,466,46600,89755.52891,0.002776
161.653969,-75.744926,39.168086,1427.487359,-75.747105,39.166555,-75.742748,39.169617,0.001,390,39004,127020.0138,0.001434
750.237375,-75.763466,39.169559,553.385838,-75.764236,39.168907,-75.762696,39.170211,0.005,466,46600,19105.00351,0.002602
168.191813,-75.756412,39.174331,2308.745862,-75.759739,39.1717,-75.753085,39.176962,0.001,466,46600,333123.4029,0.001146
760.630404,-75.765337,39.170625,1532.404068,-75.767165,39.168582,-75.763509,39.172667,0.001,466,46600,142003.2358,0.001146
487.047525,-75.7666,39.166363,1561.161769,-75.769116,39.164791,-75.764085,39.167935,0.002,466,46600,150473.63,0.001522
226.978429,-75.763799,39.176722,1644.125651,-75.766032,39.174742,-75.761567,39.178702,0.001,466,46600,168216.8198,0.001146
35.886246,-75.74188,39.169136,1221.539187,-75.74374,39.167822,-75.740021,39.17045,0.002,466,46600,93037.97937,0.001677
360.154161,-75.748674,39.167418,1185.107002,-75.750344,39.166039,-75.747004,39.168797,0.001,466,46600,87702.95052,0.00141
509.779385,-75.758377,39.170136,1874.427876,-75.761061,39.167987,-75.755694,39.172285,0.005,466,46600,219547.8631,0.002602
1.947985,-75.739956,39.166862,1861.956141,-75.742263,39.164448,-75.73765,39.169275,0.001,390,39004,211937.5227,0.001434
464.516411,-75.763027,39.167546,1027.380537,-75.764478,39.166353,-75.761576,39.16874,0.002,466,46600,65919.05279,0.001522
9.954077,-75.743018,39.177272,678.48606,-75.744027,39.176523,-75.742009,39.17802,0.019,466,46600,28754.95758,0.006646
549.200063,-75.754799,39.170191,598.845618,-75.755687,39.169528,-75.753911,39.170854,0.005,466,46600,22403.7418,0.002776
301.822621,-75.750663,39.165825,1036.485933,-75.752116,39.164612,-75.749211,39.167037,0.001,466,46600,67061.86498,0.00141
182.120056,-75.742881,39.162188,837.858937,-75.744047,39.161201,-75.741715,39.163174,0.001,390,39004,43798.5336,0.001434
5.184301,-75.74563,39.173643,832.863288,-75.746801,39.172672,-75.744459,39.174615,0.004,466,46600,43309.35574,0.002348
88.744809,-75.744314,39.170202,939.760115,-75.745688,39.169147,-75.74294,39.171257,0.004,466,46600,55194.28192,0.002348
381.865618,-75.761653,39.174061,978.837029,-75.762994,39.172891,-75.760313,39.175231,0.001,466,46600,59684.23267,0.001146
613.965879,-75.762056,39.168834,558.534893,-75.762752,39.168113,-75.76136,39.169555,0.005,466,46600,19101.16814,0.002602
23.825248,-75.738841,39.177524,764.63157,-75.739977,39.17668,-75.737705,39.178368,0.008,466,46600,36521.79307,0.003669
54.820798,-75.757416,39.165937,1641.307713,-75.759555,39.163892,-75.755276,39.167983,0.005,466,46600,166581.0761,0.002602
35.437783,-75.747738,39.170387,1126.594886,-75.749277,39.169038,-75.746199,39.171736,0.005,466,46600,79042.90559,0.002776
275.66589,-75.752481,39.170111,1181.373264,-75.754159,39.168746,-75.750803,39.171476,0.005,466,46600,87184.42837,0.002776
275.220127,-75.754536,39.178194,472.321485,-75.755292,39.177714,-75.753781,39.178674,0.001,466,46600,13799.05444,0.001146
22.385026,-75.747488,39.164627,1301.799332,-75.749203,39.163019,-75.745773,39.166234,0.001,466,46600,104995.3134,0.00141
426.924023,-75.72116,39.17516,1402.370098,-75.722999,39.173422,-75.719322,39.176899,0.007,466,46600,121742.5566,0.003793
236.727389,-75.734854,39.161822,1135.784879,-75.736416,39.16047,-75.733292,39.163173,0.004,466,46600,80397.00964,0.00235
116.211261,-75.725237,39.171126,1705.695997,-75.727502,39.169034,-75.722972,39.173218,0.011,466,46600,180492.2257,0.004334
23.162542,-75.739988,39.174281,1181.567369,-75.741679,39.172926,-75.738296,39.175636,0.006,466,46600,87238.26977,0.003592
14.332437,-75.738857,39.166993,2198.241789,-75.74212,39.164563,-75.735595,39.169423,0.001,390,39004,301867.5589,0.001434
10.596507,-75.716249,39.170135,2280.644661,-75.719329,39.167377,-75.713169,39.172892,0.001,390,39004,323476.8973,0.00176
17.532292,-75.730474,39.176112,1059.40198,-75.732028,39.174927,-75.72892,39.177297,0.005,466,46600,70138.41329,0.002734
2.717311,-75.731121,39.169306,3532.422268,-75.735866,39.165015,-75.726375,39.173597,0.001,390,39004,775458.1118,0.001363
302.494197,-75.712895,39.175003,689.93678,-75.713952,39.174267,-75.711838,39.175739,0.004,466,46600,29657.36836,0.002612
52.69815,-75.742713,39.177064,516.38915,-75.743353,39.176394,-75.742074,39.177733,0.019,466,46600,16300.16703,0.006646
121.222425,-75.729746,39.159863,982.636262,-75.731225,39.158794,-75.728267,39.160933,0.002,390,39004,60264.84381,0.001953
178.983434,-75.734895,39.165409,1219.560563,-75.736733,39.164083,-75.733058,39.166736,0.004,466,46600,92824.23491,0.00235
2.37587,-75.735705,39.177354,1025.859226,-75.737256,39.176242,-75.734155,39.178467,0.008,466,46600,65664.69522,0.003921
292.291338,-75.710837,39.157833,1173.936778,-75.712433,39.156422,-75.709242,39.159244,0.003,466,46600,85778.75192,0.002052
144.018276,-75.719815,39.178852,621.066655,-75.720871,39.178271,-75.718758,39.179434,0.007,466,46600,23386.81932,0.003793
51.865896,-75.731259,39.155513,2035.40696,-75.734011,39.153054,-75.728507,39.157971,0.001,390,39004,257694.5783,0.001266
71.149027,-75.730656,39.161879,507.218249,-75.731399,39.161311,-75.729913,39.162447,0.002,466,46600,16077.95766,0.001523
