water_area(km_sq),FType,FCode,water_perim(m),bay_perim(m),bay_area(m_sq),x_centroid_bay(lon),y_centroid_bay(lat)
0.000297,390,39004,0.00063,3338.6672,695251.1746,-77.602045,36.158146
0.001268,390,39004,0.002239,4062.6004,1024302.214,-76.777205,36.184273
0.000842,390,39004,0.001431,1310.9556,107354.3727,-76.695828,36.224023
0.000575,390,39004,0.001233,2519.1196,396572.7418,-77.921249,36.055399
0.000221,390,39004,0.000631,7465.3496,3481867.255,-77.431987,36.139019
0.001396,390,39004,0.002395,2199.7712,302131.2391,-77.251675,35.59469
0.00874,390,39001,0.005619,2288.9368,327408.6411,-77.282392,34.615319
0.216872,466,46600,0.018472,3821.798,912787.2341,-77.257896,34.629972
0.002019,390,39004,0.002306,3242.725854,656995.1414,-78.065217,34.415245
0.000667,390,39004,0.001147,2212.221033,303241.9636,-78.378863,35.322711
0.001569,390,39004,0.002202,3788.13567,892924.6788,-78.687045,35.0719
0.002038,390,39004,0.001789,4001.1236,990797.4549,-77.7016,35.338773
0.000736,390,39004,0.001252,2676.9744,443864.4177,-77.929221,35.476092
0.001291,390,39004,0.001465,4433.9324,1210070.509,-77.435602,35.707656
0.000565,390,39004,0.000961,2243.9412,296724.4055,-77.369957,35.657673
0.00246,390,39004,0.002643,3706.6908,858704.7092,-77.311616,35.650401
0.00127,390,39004,0.001644,3174.2452,627014.3314,-77.683633,35.666107
0.000333,390,39004,0.000717,3633.0004,820679.0492,-77.469076,35.78899
0.000209,390,39004,0.000543,7113.428269,1459992.264,-77.469314,35.811374
0.001573,390,39004,0.00199,5760.0208,2065289.545,-77.955543,35.826532
0.000894,390,39004,0.001299,10219.1244,3310396.609,-77.43487,35.839445
0.001246,390,39004,0.001551,4618.1388,1332448.08,-77.464072,35.825612
0.000385,390,39004,0.000775,4568.604,1299405.005,-77.461898,35.841218
0.001491,390,39004,0.002367,4692.9748,1362884.714,-77.453565,35.863998
0.000376,390,39004,0.000704,5841.9888,2098202.275,-77.729897,35.173916
0.479954,466,46600,0.043936,6498.5988,1880342.275,-77.924354,35.205912
0.001434,390,39004,0.002935,2905.3328,526590.2178,-77.823112,35.299027
0.000463,390,39004,0.001006,1880.1616,219935.3184,-77.909483,35.320244
0.076541,466,46600,0.013185,5629.0984,1319683.939,-77.876573,35.358472
0.000979,390,39004,0.001512,7639.7212,3645938.585,-77.858505,35.326536
0.000962,390,39004,0.001304,1860.172,216143.939,-77.841106,35.291601
0.000824,390,39004,0.001233,7262.347041,3292849.27,-78.750575,35.07076
0.02554,466,46600,0.006858,5268.134533,1730980.445,-78.47522,33.927777
0.335844,466,46600,0.023267,3500.506131,761404.7825,-78.787556,35.068035
0.096121,466,46600,0.01485,4217.657988,1111654.285,-78.655717,34.40313
0.013322,466,46600,0.00421,5924.013013,2184346.033,-78.138282,33.949102
0.000321,390,39004,0.000671,2470.039406,381015.7757,-78.832468,34.475829
0.001137,390,39004,0.00164,2910.267307,529334.8586,-78.610359,35.33833
0.00378,390,39004,0.003067,2484.655035,385065.7882,-78.268431,35.595882
0.000848,390,39004,0.001196,9590.082636,4928591.698,-78.685283,35.118279
0.050213,466,46600,0.008499,2649.694672,437843.9793,-78.327843,35.533666
0.000822,390,39004,0.001202,8153.180793,3118926.92,-78.475196,35.092175
0.001143,390,39004,0.001499,7608.64704,2424608.764,-78.554182,35.075062
0.359706,466,46600,0.025368,5395.75052,1814643.562,-78.500787,35.262311
0.000538,390,39004,0.000999,2591.499914,413871.9225,-78.413109,35.539227
0.00069,390,39004,0.001059,3057.979241,583718.9994,-78.677444,34.577195
0.001014,390,39004,0.001617,10503.41614,6893123.641,-78.674708,35.193479
0.001562,390,39004,0.002159,6780.706558,2865059.447,-78.914923,34.438422
0.001591,390,39004,0.00214,4045.934727,1017954.214,-78.939506,34.4381
0.001198,390,39004,0.00147,38639.91451,36784187.29,-78.679097,34.830858
0.012108,390,39004,0.004853,9748.654259,4827644.025,-78.568723,35.10762
0.031331,466,46600,0.007003,1996.687585,247900.9912,-78.192184,35.747507
0.00098,390,39004,0.00138,2473.283105,380039.933,-78.620471,34.953542
0.001024,390,39004,0.001424,3067.729623,587609.6165,-78.516008,35.164678
0.008896,390,39004,0.004204,3716.052088,856336.3186,-78.539737,35.110225
0.022441,466,46600,0.005371,1648.136996,169656.2643,-78.581983,35.215714
0.00091,390,39004,0.00153,8794.604074,3376930.759,-78.482307,35.165079
0.001906,390,39004,0.002035,4161.251142,1081728.021,-78.475962,35.122872
0.095233,466,46600,0.013732,2916.631924,527789.8101,-78.641928,34.396782
0.00177,390,39004,0.00217,3047.296686,580093.2519,-78.526651,35.169101
0.000827,390,39004,0.001358,2841.067377,502971.5864,-78.519552,35.182188
0.001576,390,39004,0.002245,7957.747388,3953401.438,-78.458539,35.127626
0.000761,390,39004,0.00152,4402.84568,1210785.645,-78.507725,35.186423
0.000657,390,39004,0.001266,9006.504143,4873681.887,-78.488282,35.184481
0.000784,390,39004,0.001255,3641.03539,565293.9413,-78.521982,35.279516
0.002163,390,39004,0.002575,1579.346161,155873.7838,-78.430883,35.307643
0.000988,390,39004,0.00138,2226.193589,308600.6143,-78.614094,35.288038
0.001398,390,39004,0.001697,1731.821348,186324.8191,-78.437226,35.31037
0.001128,390,39004,0.00143,3188.753314,635279.4323,-78.140781,35.289912
0.002915,390,39004,0.003232,27651.12544,24935438.83,-78.409585,34.65716
0.145364,466,46600,0.026545,3267.6122,663990.9476,-78.349639,34.529438
0.000349,390,39004,0.000884,3933.203476,949321.4019,-78.749382,34.279976
0.001402,390,39004,0.001895,1826.768406,205431.4664,-78.852482,34.451078
0.00048,390,39004,0.000827,4869.999937,1345613.587,-78.690399,34.485525
0.202321,466,46600,0.03667,6725.265586,2821537.12,-78.674255,34.563727
0.000972,390,39004,0.001288,3718.965947,863625.6616,-78.826035,34.576792
0.001247,390,39004,0.001553,4001.103584,683564.3116,-78.92691,34.605571
0.099681,466,46600,0.014892,8457.79214,4349492.468,-78.739333,34.553302
0.002681,390,39004,0.002621,3615.679416,816661.7326,-78.937086,34.569258
0.004431,390,39004,0.003652,3629.942964,611050.0948,-78.927003,34.598978
0.000855,390,39004,0.001331,27158.90122,20386688.79,-78.575075,34.859951
0.000719,390,39004,0.001157,3061.610697,583438.7666,-78.689812,34.574254
0.000518,390,39004,0.000935,3793.032765,888741.2047,-78.726084,34.580387
0.003646,390,39004,0.003529,47057.7889,23564514.31,-78.515725,34.642922
0.036349,466,46600,0.011436,12463.79549,6027205.709,-78.455393,34.593805
0.00106,390,39001,0.001427,13147.40237,4999609.688,-78.32129,34.557421
0.012031,466,46600,0.0055,12055.55651,6434850.109,-78.284211,34.644161
0.86645,390,39004,0.033456,7557.016587,3551026.317,-78.603075,34.688419
0.001964,390,39004,0.001862,13652.26678,9544575.195,-78.624854,34.758894
0.015205,466,46600,0.006504,13179.7663,7071544.697,-78.466316,34.744046
0.475746,466,46600,0.03821,16038.95063,10625948.46,-78.515988,34.722335
0.002954,466,46600,0.001977,7655.255341,2234342.329,-78.316329,34.686983
0.000747,390,39004,0.001087,7006.101694,1562826.777,-78.892758,34.768058
0.000391,390,39004,0.000772,1485.804435,137666.3495,-78.864838,34.723031
0.018795,466,46600,0.004988,18754.75075,14841084.59,-78.533078,34.81307
0.002705,390,39004,0.002867,10823.56369,6843868.856,-78.621648,34.118714
0.033647,390,39004,0.00713,6064.978987,2298873.613,-78.604447,34.079238
0.087184,466,46600,0.014691,4578.153152,1090236.776,-78.920891,34.80241
0.002474,390,39004,0.003018,2300.537101,325945.2681,-78.885974,34.877766
0.002257,390,39004,0.002525,2103.722012,276259.7651,-78.876316,34.81346
0.00057,390,39004,0.000975,7880.918701,3879201.995,-78.885707,34.8613
0.050771,466,46600,0.008461,1566.398161,153342.9501,-79.138637,34.667841
0.001043,390,39004,0.001451,16086.57826,13334526.25,-78.970849,34.776261
0.296314,390,39004,0.019973,3192.557683,619746.1068,-78.764337,34.809215
0.001138,390,39004,0.001607,9093.401806,5149618.177,-78.484261,34.789459
0.00106,390,39004,0.001317,5570.303437,1409604.68,-78.87125,34.894961
0.001831,390,39004,0.002412,5112.662277,1212999.341,-78.945514,34.861296
